n,elapsed_time,MFLOPs
849,6,849
850,6,850
851,6,851
852,6,852
853,6,853
854,6,854
855,6,855
856,6,856
857,6,857
858,6,858
859,6,859
860,6,860
861,6,861
862,6,862
863,6,863
864,6,864
865,6,865
866,6,866
867,6,867
868,6,868
869,6,869
870,6,870
871,6,871
872,6,872
873,6,873
874,6,874
875,6,875
876,6,876
877,6,877
878,6,878
879,6,879
880,6,880
881,6,881
882,6,882
883,6,883
884,6,884
885,6,885
886,6,886
887,6,887
888,6,888
889,6,889
890,6,890
891,6,891
892,6,892
893,6,893
894,6,894
895,6,895
896,6,896
897,6,897
898,6,898
899,6,899
900,6,900
901,6,901
902,6,902
903,6,903
904,6,904
905,6,905
906,6,906
907,6,907
908,6,908
909,6,909
910,6,910
911,6,911
912,6,912
913,6,913
914,6,914
915,6,915
916,6,916
917,6,917
918,6,918
919,6,919
920,6,920
921,6,921
922,6,922
923,6,923
924,6,924
925,6,925
926,6,926
927,6,927
928,6,928
929,6,929
930,6,930
931,6,931
932,8,699
933,6,933
934,6,934
935,6,935
936,6,936
937,6,937
938,6,938
939,6,939
940,6,940
941,6,941
942,6,942
943,6,943
944,6,944
945,6,945
946,6,946
947,6,947
948,6,948
949,6,949
950,6,950
951,6,951
952,6,952
953,6,953
954,6,954
955,6,955
956,6,956
957,6,957
958,6,958
959,6,959
960,6,960
961,7,823.714
962,6,962
963,7,825.429
964,8,723
965,6,965
966,6,966
967,6,967
968,6,968
969,6,969
970,6,970
971,6,971
972,6,972
973,8,729.75
974,6,974
975,6,975
976,6,976
977,7,837.429
978,6,978
979,6,979
980,6,980
981,7,840.857
982,6,982
983,6,983
984,7,843.429
985,6,985
986,6,986
987,7,846
988,7,846.857
989,7,847.714
990,7,848.571
991,7,849.429
992,7,850.286
993,7,851.143
994,7,852
995,7,852.857
996,7,853.714
997,7,854.571
998,7,855.429
999,7,856.286
1000,7,857.143
1001,7,858
1002,7,858.857
1003,7,859.714
1004,7,860.571
1005,7,861.429
1006,7,862.286
1007,7,863.143
1008,7,864
1009,7,864.857
1010,7,865.714
1011,7,866.571
1012,7,867.429
1013,7,868.286
1014,7,869.143
1015,7,870
1016,7,870.857
1017,7,871.714
1018,7,872.571
1019,7,873.429
1020,7,874.286
1021,7,875.143
1022,7,876
1023,7,876.857
1024,7,877.714
