n,elapsed_time,FLOPs
338,23218,6.30755e+08
339,23995,6.13944e+08
340,23493,6.30765e+08
341,23616,6.31173e+08
342,23769,6.30791e+08
343,23932,6.30161e+08
344,24062,6.30414e+08
345,24197,6.30544e+08
346,24269,6.32321e+08
347,24601,6.27396e+08
348,24622,6.30476e+08
349,24776,6.30161e+08
350,24929,6.29885e+08
351,25113,6.28845e+08
352,25150,6.31501e+08
353,25324,6.30728e+08
354,26486,6.06475e+08
355,25593,6.31185e+08
356,25869,6.27971e+08
357,26358,6.19786e+08
358,26101,6.29397e+08
359,27021,6.11367e+08
360,26367,6.30024e+08
361,26463,6.31228e+08
362,26686,6.29424e+08
363,26794,6.30352e+08
364,26643,6.3742e+08
365,26694,6.397e+08
366,26831,6.39924e+08
367,27204,6.34601e+08
368,27534,6.30414e+08
369,27654,6.31092e+08
370,27795,6.31296e+08
371,27945,6.31304e+08
372,28092,6.31388e+08
373,28247,6.31302e+08
374,28381,6.31692e+08
375,28562,6.31048e+08
376,29262,6.1924e+08
377,28897,6.30399e+08
378,29037,6.3069e+08
379,30117,6.11293e+08
380,29360,6.30365e+08
381,30112,6.1786e+08
382,29660,6.3057e+08
383,29820,6.30473e+08
384,30533,6.18968e+08
385,30295,6.27082e+08
386,31290,6.10297e+08
387,30435,6.30695e+08
388,30587,6.30806e+08
389,30744,6.30822e+08
390,30879,6.31295e+08
391,31035,6.31345e+08
392,31171,6.31808e+08
393,31344,6.31528e+08
394,31521,6.3118e+08
395,31654,6.3172e+08
396,31806,6.31887e+08
397,32287,6.25619e+08
398,32568,6.23348e+08
399,32576,6.26328e+08
400,33972,6.03603e+08
401,32657,6.3105e+08
402,32908,6.29362e+08
403,32956,6.31574e+08
404,33210,6.29856e+08
405,33344,6.30432e+08
406,33522,6.30183e+08
407,33669,6.30524e+08
408,33852,6.30199e+08
409,34232,6.2626e+08
410,34375,6.26707e+08
411,34331,6.30573e+08
412,34448,6.31491e+08
413,34618,6.31442e+08
