n,elapsed_time,FLOPs
780,1.02068e+06,2.79141e+09
782,1.18631e+06,2.4202e+09
784,1.06991e+06,2.70413e+09
786,1.0474e+06,2.78343e+09
788,1.03674e+06,2.83358e+09
790,1.0817e+06,2.73653e+09
792,1.05949e+06,2.81518e+09
794,1.07097e+06,2.80615e+09
796,1.06842e+06,2.83413e+09
798,1.23592e+06,2.46856e+09
800,1.08448e+06,2.83447e+09
802,1.10448e+06,2.80406e+09
804,1.10352e+06,2.82753e+09
806,1.14895e+06,2.73604e+09
808,1.11767e+06,2.83361e+09
810,1.13616e+06,2.80824e+09
812,1.13646e+06,2.82834e+09
814,1.33178e+06,2.43142e+09
816,1.15148e+06,2.83291e+09
818,1.16918e+06,2.81058e+09
820,1.16995e+06,2.82937e+09
822,1.21809e+06,2.73749e+09
824,1.1838e+06,2.83738e+09
826,1.20145e+06,2.8161e+09
828,1.20687e+06,2.82387e+09
830,1.39917e+06,2.45345e+09
832,1.2194e+06,2.83555e+09
834,1.23926e+06,2.81026e+09
836,1.23822e+06,2.8329e+09
838,1.31603e+06,2.68458e+09
840,1.28096e+06,2.77787e+09
842,1.29883e+06,2.75925e+09
844,1.3012e+06,2.77391e+09
846,1.50164e+06,2.42078e+09
848,1.29185e+06,2.8339e+09
850,1.3108e+06,2.81272e+09
852,1.30871e+06,2.83714e+09
854,1.3645e+06,2.74035e+09
856,1.33508e+06,2.82046e+09
858,1.3486e+06,2.81179e+09
860,1.34718e+06,2.83448e+09
862,1.54833e+06,2.48349e+09
864,1.36698e+06,2.83257e+09
866,1.3865e+06,2.81214e+09
868,1.39508e+06,2.81425e+09
870,1.44615e+06,2.73367e+09
872,1.4071e+06,2.82894e+09
874,1.42356e+06,2.81553e+09
876,1.4269e+06,2.82825e+09
878,1.67371e+06,2.42773e+09
880,1.44536e+06,2.83054e+09
882,1.46476e+06,2.81214e+09
884,1.46359e+06,2.83358e+09
886,1.52506e+06,2.73786e+09
888,1.51438e+06,2.77588e+09
890,1.50218e+06,2.81737e+09
892,1.5031e+06,2.83467e+09
894,1.87095e+06,2.29269e+09
896,1.5209e+06,2.83933e+09
898,1.54452e+06,2.81467e+09
900,1.58953e+06,2.75329e+09
902,1.62269e+06,2.71504e+09
904,1.58346e+06,2.80085e+09
906,1.61193e+06,2.76967e+09
908,1.62272e+06,2.76952e+09
910,1.89296e+06,2.38986e+09
912,1.61312e+06,2.82298e+09
914,1.65196e+06,2.77477e+09
916,1.67152e+06,2.76034e+09
918,1.71248e+06,2.71201e+09
920,1.68245e+06,2.77849e+09
922,1.6978e+06,2.77137e+09
924,1.67792e+06,2.82247e+09
926,1.93184e+06,2.46745e+09
928,1.71371e+06,2.79957e+09
930,1.72008e+06,2.80727e+09
932,1.71492e+06,2.83391e+09
934,1.78419e+06,2.74147e+09
936,1.73335e+06,2.84004e+09
938,1.7665e+06,2.80464e+09
940,1.81362e+06,2.74928e+09
942,2.11842e+06,2.36877e+09
944,1.80047e+06,2.80486e+09
946,1.8028e+06,2.81907e+09
948,1.82652e+06,2.80015e+09
950,1.87802e+06,2.74063e+09
952,1.82344e+06,2.84052e+09
954,1.86106e+06,2.80068e+09
956,1.85221e+06,2.8318e+09
958,2.15686e+06,2.44711e+09
960,1.88522e+06,2.81728e+09
962,1.89962e+06,2.81342e+09
964,1.98578e+06,2.70817e+09
966,2.00824e+06,2.69458e+09
968,2.02632e+06,2.68716e+09
970,1.9904e+06,2.75264e+09
972,1.97995e+06,2.78432e+09
974,2.35678e+06,2.3536e+09
976,2.01244e+06,2.77332e+09
978,2.06516e+06,2.71916e+09
980,2.01897e+06,2.79847e+09
982,2.13319e+06,2.66488e+09
984,2.10123e+06,2.72197e+09
986,2.08632e+06,2.75818e+09
988,2.0513e+06,2.82237e+09
990,2.34677e+06,2.48202e+09
992,2.08457e+06,2.81118e+09
994,2.09794e+06,2.81019e+09
996,2.09869e+06,2.82617e+09
998,2.21374e+06,2.69546e+09
1000,2.12816e+06,2.82074e+09
1002,2.15162e+06,2.80676e+09
1004,2.14639e+06,2.83048e+09
1006,2.52289e+06,2.42249e+09
1008,2.17556e+06,2.82603e+09
1010,2.20604e+06,2.80361e+09
1012,2.20248e+06,2.82484e+09
1014,2.56219e+06,2.44269e+09
1016,2.23233e+06,2.82025e+09
1018,2.25822e+06,2.80441e+09
1020,2.25357e+06,2.82679e+09
1022,6.16982e+06,1.03859e+09
1024,2.28862e+06,-2.81362e+09
